target_image,pair_image,audio,stimulus_type,condition,sentence_template,target_onset,group,speaker,expt_practice,audio_duration
raccoon.jpg,smoke.jpg,F_1_LFD_N_sk.wav,filler,LFD,original,NA,groupC,native,NA,304018
jumprope.jpg,house.jpg,F_2_LFD_N_sk.wav,filler,LFD,original,NA,groupC,native,NA,4566
radish.jpg,bread.jpg,F_3_LFD_N_sk.wav,filler,LFD,original,NA,groupC,native,NA,5560
pick.jpg,bride.jpg,F_4_LFD_N_sk.wav,filler,LFD,original,NA,groupC,native,NA,3943
pencilsharpener.jpg,bird.jpg,F_5_LFD_N_sk.wav,filler,LFD,original,NA,groupC,native,NA,4578
tripod.jpg,ear.jpg,F_6_LFD_N_sk.wav,filler,LFD,original,NA,groupC,native,NA,4800
seahorse.jpg,paper.jpg,F_7_LFD_N_sk.wav,filler,LFD,original,NA,groupC,native,NA,4705
ladle.jpg,butter.jpg,F_8_LFD_N_sk.wav,filler,LFD,original,NA,groupC,native,NA,4241
firehydrant.jpg,doctor.jpg,F_9_LFD_N_sk.wav,filler,LFD,original,NA,groupC,native,NA,4528
kangaroo.jpg,wood.jpg,F_10_LFD_N_sk.wav,filler,LFD,original,NA,groupC,native,NA,5093
crib.jpg,road.jpg,F_11_LFD_N_sk.wav,filler,LFD,original,NA,groupC,native,NA,4505
leopard.jpg,priest.jpg,F_12_LFD_N_sk.wav,filler,LFD,original,NA,groupC,native,NA,4528
ladybug.jpg,suitcase.jpg,F_13_LFD_N_sk.wav,filler,LFD,original,NA,groupC,native,NA,4154
drill.jpg,neck.jpg,F_14_LFD_N_sk.wav,filler,LFD,original,NA,groupC,native,NA,4042
brush.jpg,rose.jpg,F_15_LFD_N_sk.wav,filler,LFD,original,NA,groupC,native,NA,4578
walrus.jpg,net.jpg,F_16_LFD_N_sk.wav,filler,LFD,original,NA,groupC,native,NA,3656
wine.jpg,penguin.jpg,F_1_HFF_N_sk.wav,filler,HFF,original,NA,groupC,native,NA,2521
hat.jpg,peach.jpg,F_2_HFF_N_sk.wav,filler,HFF,original,NA,groupC,native,NA,2722
cheese.jpg,butterfly.jpg,F_3_HFF_N_sk.wav,filler,HFF,original,NA,groupC,native,NA,2461
floor.jpg,thimble.jpg,F_4_HFF_N_sk.wav,filler,HFF,original,NA,groupC,native,NA,2692
man.jpg,beaver.jpg,F_5_HFF_N_sk.wav,filler,HFF,original,NA,groupC,native,NA,2480
city.jpg,flute.jpg,F_6_HFF_N_sk.wav,filler,HFF,original,NA,groupC,native,NA,2506
bar.jpg,artichoke.jpg,F_7_HFF_N_sk.wav,filler,HFF,original,NA,groupC,native,NA,2529
woman.jpg,slide.jpg,F_8_HFF_N_sk.wav,filler,HFF,original,NA,groupC,native,NA,2559
book.jpg,antlers.jpg,F_9_HFF_N_sk.wav,filler,HFF,original,NA,groupC,native,NA,2521
piano.jpg,razor.jpg,F_10_HFF_N_sk.wav,filler,HFF,original,NA,groupC,native,NA,2645
horse.jpg,iron.jpg,F_11_HFF_N_sk.wav,filler,HFF,original,NA,groupC,native,NA,2559
glass.jpg,zebra.jpg,F_12_HFF_N_sk.wav,filler,HFF,original,NA,groupC,native,NA,2772
boy.jpg,anvil.jpg,F_13_HFF_N_sk.wav,filler,HFF,original,NA,groupC,native,NA,2658
fire.jpg,binoculars.jpg,F_14_HFF_N_sk.wav,filler,HFF,original,NA,groupC,native,NA,2739
lips.jpg,safetypin.jpg,F_15_HFF_N_sk.wav,filler,HFF,original,NA,groupC,native,NA,2593
rock.jpg,recordplayer.jpg,F_16_HFF_N_sk.wav,filler,HFF,original,NA,groupC,native,NA,2636
hose.jpg,dog.jpg,T_1_LFF_D_N_sk.wav,target,LFF,1F,2174,groupD,native,NA,2885
snail.jpg,church.jpg,T_2_LFF_D_N_sk.wav,target,LFF,2F,2106,groupD,native,NA,2970
wateringcan.jpg,nose.jpg,T_3_LFF_D_N_sk.wav,target,LFF,3F,2121,groupD,native,NA,2646
strawberry.jpg,door.jpg,T_4_LFF_D_N_sk.wav,target,LFF,1F,2174,groupD,native,NA,3013
dolphin.jpg,fish.jpg,T_5_LFF_D_N_sk.wav,target,LFF,2F,2106,groupD,native,NA,2798
bat.jpg,hand.jpg,T_6_LFF_D_N_sk.wav,target,LFF,3F,2121,groupD,native,NA,2994
puzzle.jpg,eye.jpg,T_7_LFF_D_N_sk.wav,target,LFF,1F,2174,groupD,native,NA,2884
dinosaur.jpg,tree.jpg,T_8_LFF_D_N_sk.wav,target,LFF,2F,2106,groupD,native,NA,3011
saw.jpg,bottle.jpg,T_1_LFD_D_N_sk.wav,target,LFD,1D,3505,groupD,native,NA,4034
harp.jpg,sun.jpg,T_2_LFD_D_N_sk.wav,target,LFD,2D,3562,groupD,native,NA,4302
fan.jpg,moon.jpg,T_3_LFD_D_N_sk.wav,target,LFD,3D,3638,groupD,native,NA,4625
alligator.jpg,car.jpg,T_4_LFD_D_N_sk.wav,target,LFD,1D,3505,groupD,native,NA,4346
rhinoceros.jpg,baby.jpg,T_5_LFD_D_N_sk.wav,target,LFD,2D,3562,groupD,native,NA,4697
snowman.jpg,bus.jpg,T_6_LFD_D_N_sk.wav,target,LFD,3D,3638,groupD,native,NA,4633
ostrich.jpg,arm.jpg,T_7_LFD_D_N_sk.wav,target,LFD,1D,3505,groupD,native,NA,4323
pumpkin.jpg,train.jpg,T_8_LFD_D_N_sk.wav,target,LFD,2D,3562,groupD,native,NA,4371
table.jpg,highchair.jpg,T_1_HFF_D_N_sk.wav,target,HFF,1F,2174,groupD,native,NA,2787
factory.jpg,sewingmachine.jpg,T_2_HFF_D_N_sk.wav,target,HFF,2F,2106,groupD,native,NA,2833
stairs.jpg,wheelbarrow.jpg,T_3_HFF_D_N_sk.wav,target,HFF,3F,2121,groupD,native,NA,2800
rain.jpg,igloo.jpg,T_4_HFF_D_N_sk.wav,target,HFF,1F,2174,groupD,native,NA,2868
wall.jpg,swing.jpg,T_5_HFF_D_N_sk.wav,target,HFF,2F,2106,groupD,native,NA,2863
bridge.jpg,pineapple.jpg,T_6_HFF_D_N_sk.wav,target,HFF,3F,2121,groupD,native,NA,2830
cigarette.jpg,typewriter.jpg,T_7_HFF_D_N_sk.wav,target,HFF,2F,2106,groupD,native,NA,2935
king.jpg,vacuum.jpg,T_8_HFF_D_N_sk.wav,target,HFF,3F,2121,groupD,native,NA,2785
bench.jpg,toothbrush.jpg,T_1_HFD_D_N_sk.wav,target,HFD,1D,3505,groupD,native,NA,4248
shoe.jpg,blimp.jpg,T_2_HFD_D_N_sk.wav,target,HFD,2D,3562,groupD,native,NA,4393
chair.jpg,globe.jpg,T_3_HFD_D_N_sk.wav,target,HFD,3D,3638,groupD,native,NA,4506
star.jpg,funnel.jpg,T_4_HFD_D_N_sk.wav,target,HFD,1D,3505,groupD,native,NA,4200
telephone.jpg,unicorn.jpg,T_5_HFD_D_N_sk.wav,target,HFD,2D,3562,groupD,native,NA,4363
tooth.jpg,cactus.jpg,T_6_HFD_D_N_sk.wav,target,HFD,3D,3638,groupD,native,NA,4273
ball.jpg,earring.jpg,T_7_HFD_D_N_sk.wav,target,HFD,2D,3562,groupD,native,NA,4248
flower.jpg,palmtree.jpg,T_8_HFD_D_N_sk.wav,target,HFD,3D,3638,groupD,native,NA,4230
raccoon.jpg,smoke.jpg,F_1_LFD_N_sk.wav,filler,LFD,original,NA,groupD,native,NA,304018
jumprope.jpg,house.jpg,F_2_LFD_N_sk.wav,filler,LFD,original,NA,groupD,native,NA,4566
radish.jpg,bread.jpg,F_3_LFD_N_sk.wav,filler,LFD,original,NA,groupD,native,NA,5560
pick.jpg,bride.jpg,F_4_LFD_N_sk.wav,filler,LFD,original,NA,groupD,native,NA,3943
pencilsharpener.jpg,bird.jpg,F_5_LFD_N_sk.wav,filler,LFD,original,NA,groupD,native,NA,4578
tripod.jpg,ear.jpg,F_6_LFD_N_sk.wav,filler,LFD,original,NA,groupD,native,NA,4800
seahorse.jpg,paper.jpg,F_7_LFD_N_sk.wav,filler,LFD,original,NA,groupD,native,NA,4705
ladle.jpg,butter.jpg,F_8_LFD_N_sk.wav,filler,LFD,original,NA,groupD,native,NA,4241
firehydrant.jpg,doctor.jpg,F_9_LFD_N_sk.wav,filler,LFD,original,NA,groupD,native,NA,4528
kangaroo.jpg,wood.jpg,F_10_LFD_N_sk.wav,filler,LFD,original,NA,groupD,native,NA,5093
crib.jpg,road.jpg,F_11_LFD_N_sk.wav,filler,LFD,original,NA,groupD,native,NA,4505
leopard.jpg,priest.jpg,F_12_LFD_N_sk.wav,filler,LFD,original,NA,groupD,native,NA,4528
ladybug.jpg,suitcase.jpg,F_13_LFD_N_sk.wav,filler,LFD,original,NA,groupD,native,NA,4154
drill.jpg,neck.jpg,F_14_LFD_N_sk.wav,filler,LFD,original,NA,groupD,native,NA,4042
brush.jpg,rose.jpg,F_15_LFD_N_sk.wav,filler,LFD,original,NA,groupD,native,NA,4578
